Name,Designator,Description,Quantity,Layer,Fitted,Variant

"2SA812","Q4","SOT-23(SOT-23-3) Bipolar Transistors - BJT ROHS PNP","1","Top","Fitted","Basic"
"7B008000F01","X2","8MHz ±10ppm 8pF 200O SMD-3225_4P SMD Crystal Resonators RoHS","1","Top","Fitted","Basic"
"7LC32768F12UC","X1","32.768KHz ±20ppm 12.5pF 70kO SMD-3215_2P SMD Crystal Resonators RoHS","1","Top","Fitted","Basic"
"920-462A2021S10100","J33_1, J33_2","USB - Mini B Female USB 2 5 SMD USB Connectors RoHS","2","Top","Fitted","Basic"
"12251103CNG0S115001","J11, J14, J20, J32, J41, J42, J43","Pin Header 3 1 right-angle,180degrees 2.54mm Through Hole,P=2.54mm Pin Header & Female Header RoHS","7","Top","Fitted","Basic"
"AC2512FK-0747RL","R4_1, R4_2, R8_1, R8_2, R15_1, R15_2, R19_1, R19_2","47O ±1% 1W ±100ppm/? 2512 Chip Resistor - Surface Mount RoHS","8","Top","Fitted","Basic"
"AC2512FK-07470RL","R25, R29, R33, R37","470O ±1% 1W ±100ppm/? 2512 Chip Resistor - Surface Mount RoHS","4","Top","Fitted","Basic"
"AP7361-33D-13","U9","Fixed 6V 3.3V 700mV @ 1A TO-252 Dropout Regulators(LDO) RoHS","1","Top","Fitted","Basic"
"B2B-XH-A (LF)(SN)","J40","Pin Header, Vertical, Wire-to-Board, 2.5 mm, 1 Rows, 2 Contacts, Through Hole Straight, XH Series","1","Top","Fitted","Basic"
"BL3085A","U16","SOIC-8_150mil RS-485/RS-422 ICs ROHS (MAX485 clone)","1","Top","Fitted","Basic"
"BS-2-1","J6","DIP Battery Box/Battery Holders ROHS","1","Top","Fitted","Basic"
"C26235","J15","USB - Type A Female USB 2 4 Through Hole USB Connectors RoHS","1","Top","Fitted","Basic"
"CC0402JRNPO9BN120","C48, C49","12pF ±5% 50V NP0 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","2","Top","Fitted","Basic"
"CC0402JRNPO9BN200","C19, C36","20pF ±5% 50V NP0 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","2","Top","Fitted","Basic"
"CC0402KRX5R6BB104","C3_1, C3_2, C6_1, C6_2, C7_1, C7_2, C11, C12, C13, C14, C42, C43, C44, C45, C46, C50, C51, C52_1, C52_2, C55_1, C55_2, C56, C57, C59","100nF ±10% 10V X5R 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","24","Top","Fitted","Basic"
"CC0402KRX5R9BB104","C2_1, C2_2, C15, C16, C25, C35, C63","100nF ±10% 50V X5R 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","7","Top","Fitted","Basic"
"CC0402KRX5R9BB104","C9, C10","100nF ±10% 50V X5R 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","2","Top","Fitted","Basic"
"CC0402KRX7R9BB103","C1_1, C1_2, C4_1, C4_2, C5_1, C5_2, C8_1, C8_2, C41_1, C41_2, C47, C60_1, C60_2, C61_1, C61_2, C62_1, C62_2","10nF ±10% 50V X7R 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","17","Top","Fitted","Basic"
